,Sales_ID,name,year,selling_price,km_driven,Region,State_Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,Brand
0,1,Maruti Swift,2014,450000,145500,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23.0,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
1,2,Skoda Rapid,2014,370000,120000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,21.1,1498,103.52,250Nm@ 1500-2500rpm,5,Y,Skoda
2,3,Honda City,2006,158000,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,17.0,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y,Honda
3,4,Hyundai i20,2010,225000,127000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y,Hyundai
4,5,Maruti Swift,2007,130000,120000,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.0,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y,Maruti
5,6,Hyundai Xcent,2017,440000,45000,East,New York,New York City,Petrol,Individual,Manual,First Owner,20.1,1197,81.86,113.75nm@ 4000rpm,5,Y,Hyundai
6,7,Maruti Wagon,2007,96000,175000,West,California,Los Angeles,LPG,Individual,Manual,First Owner,24.22,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y,Maruti
7,8,Maruti 800,2001,45000,5000,West,California,Los Angeles,Petrol,Individual,Manual,Second Owner,16.0,796,37.0,59Nm@ 2500rpm,4,Y,Maruti
8,9,Toyota Etios,2011,350000,90000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,23.5,1364,67.1,170Nm@ 1800-2400rpm,5,Y,Toyota
9,10,Ford Figo,2013,200000,169000,Central,Texas,Houston,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160Nm@ 2000rpm,5,Y,Ford
10,11,Renault Duster,2014,500000,68000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,19.0,1461,108.45,248Nm@ 2250rpm,5,Y,Renault
11,12,Maruti Zen,2005,92000,100000,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,17.0,993,60.0,78Nm@ 4500rpm,5,Y,Maruti
12,13,Maruti Swift,2009,280000,140000,Central,Texas,Houston,Diesel,Individual,Manual,Second Owner,19.0,1248,73.9,190Nm@ 2000rpm,5,Y,Maruti
13,15,Maruti Wagon,2009,180000,90000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,18.0,1061,67.0,84Nm@ 3500rpm,5,Y,Maruti
14,16,Mahindra KUV,2016,400000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,18.1,1198,82.0,115Nm@ 3500-3600rpm,5,Y,Mahindra
15,17,Maruti Ertiga,2016,778000,70000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,24.5,1248,88.5,200Nm@ 1750rpm,7,Y,Maruti
16,18,Hyundai i20,2012,500000,53000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y,Hyundai
17,19,Maruti Alto,2002,150000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second Owner,19.0,796,46.3,62Nm@ 3000rpm,5,Y,Maruti
18,20,Hyundai i20,2016,680000,100000,East,New York,New York City,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y,Hyundai
19,21,Mahindra Verito,2011,174000,100000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160Nm@ 2000rpm,5,Y,Mahindra
20,22,Honda WR-V,2017,950000,50000,East,New York,New York City,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200Nm@ 1750rpm,5,Y,Honda
21,23,Maruti Swift,2015,525000,40000,Central,Texas,Dallas,Diesel,Individual,Manual,First Owner,26.5,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
22,24,Maruti SX4,2012,600000,72000,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.0,1248,88.8,200Nm@ 1750rpm,5,Y,Maruti
23,25,Tata Tigor,2018,500000,35000,East,New York,New York City,Petrol,Individual,Manual,First Owner,20.0,1199,83.81,114Nm@ 3500rpm,5,Y,Tata
24,26,Maruti Baleno,2016,575000,45000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115Nm@ 4000rpm,5,Y,Maruti
25,27,Maruti Alto,2017,275000,28000,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,24.0,796,47.3,69Nm@ 3500rpm,5,Y,Maruti
26,28,Chevrolet Enjoy,2013,300000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,18.0,1248,73.8,172.5Nm@ 1750rpm,7,Y,Chevrolet
27,29,Maruti Wagon,2009,220000,120000,South,Georgia,Atlanta,Petrol,Individual,Manual,First Owner,18.0,1061,67.0,84Nm@ 3500rpm,5,Y,Maruti
28,30,Maruti Omni,2018,254999,25000,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.0,796,34.2,59Nm@ 2500rpm,8,Y,Maruti
29,31,Maruti Vitara,2017,670000,70000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
30,33,Maruti Omni,2012,150000,35000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,Y,Maruti
31,34,Hyundai i20,2018,730000,2388,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,18.0,1197,81.83,114.7Nm@ 4000rpm,5,Y,Hyundai
32,35,Maruti Vitara,2017,650000,16200,West,Washington,Seattle,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
33,36,Maruti Alto,2019,330000,10000,West,Washington,Seattle,CNG,Individual,Manual,Second Owner,46.815999999999995,796,40.3,60Nm@ 3500rpm,4,Y,Maruti
34,37,Maruti Alto,2019,366000,15000,West,Washington,Seattle,Petrol,Individual,Manual,First Owner,23.9,998,67.1,90Nm@ 3500rpm,5,Y,Maruti
35,38,Hyundai Verna,2019,1149000,5000,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,Y,Hyundai
36,39,Datsun GO,2016,150000,42000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.6,1198,67.0,104Nm@ 4000rpm,5,Y,Datsun
37,40,Tata Safari,2011,425000,60000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second Owner,13.9,2179,138.03,320Nm@ 1700-2700rpm,7,Y,Tata
38,41,Maruti 800,2012,150000,76000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,16.0,796,37.0,59Nm@ 2500rpm,4,Y,Maruti
39,42,Jeep Compass,2019,2100000,5000,East,New York,New York City,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250Nm@ 1750-2500rpm,5,Y,Jeep
40,43,Honda City,2018,925000,28900,East,New York,New York City,Petrol,Dealer,Manual,First Owner,17.0,1497,117.3,145Nm@ 4600rpm,5,Y,Honda
41,44,Honda City,2013,425000,86300,East,New York,New York City,Petrol,Dealer,Manual,First Owner,16.0,1497,116.3,146Nm@ 4800rpm,5,Y,Honda
42,45,Maruti Swift,2018,675000,23300,East,New York,New York City,Petrol,Dealer,Automatic,First Owner,18.0,1197,83.14,115Nm@ 4000rpm,5,Y,Maruti
43,46,Maruti Vitara,2018,819999,32600,Central,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
44,47,Maruti Alto,2018,390000,10300,East,New York,New York City,Petrol,Dealer,Manual,First Owner,23.9,998,67.05,90Nm@ 3500rpm,5,Y,Maruti
45,48,Toyota Fortuner,2014,1500000,77000,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,12.5,2982,168.5,343Nm@ 1400-3400rpm,7,Y,Toyota
46,49,Toyota Innova,2013,700000,99000,East,New York,New York City,Diesel,Dealer,Manual,First Owner,12.9,2494,100.0,200Nm@ 1400-3400rpm,7,Y,Toyota
47,50,Mercedes-Benz B,2014,1450000,27800,East,New York,New York City,Diesel,Dealer,Automatic,Second Owner,14.0,2143,120.7,200Nm@ 1250-4000rpm,5,Y,Mercedes-Benz
48,51,Honda Amaze,2015,425000,49800,East,New York,New York City,Diesel,Dealer,Manual,First Owner,24.0,1498,98.63,200Nm@ 1750rpm,5,Y,Honda
49,52,Mitsubishi Pajero,2013,1090000,151000,West,Washington,Seattle,Diesel,Dealer,Manual,First Owner,13.0,2477,175.56,400Nm@ 2000-2500rpm,7,Y,Mitsubishi
50,53,Honda City,2015,600000,54700,West,California,Los Angeles,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200Nm@ 1750rpm,5,Y,Honda
51,54,Maruti Ciaz,2018,850000,64000,East,New York,New York City,Petrol,Dealer,Manual,First Owner,20.6,1462,103.25,138Nm@ 4400rpm,5,Y,Maruti
52,55,Honda Jazz,2015,525000,63000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,27.0,1498,98.6,200Nm@ 1750rpm,5,Y,Honda
53,56,Toyota Innova,2016,1650000,127700,East,Massachusetts,Boston,Diesel,Dealer,Automatic,Second Owner,11.3,2755,171.5,360Nm@ 1200-3400rpm,7,Y,Toyota
54,57,Toyota Innova,2016,950000,99000,South,Georgia,Atlanta,Diesel,Dealer,Manual,First Owner,12.9,2494,100.6,200Nm@ 1200-3600rpm,7,Y,Toyota
55,58,Audi A6,2013,1750000,33900,South,Georgia,Atlanta,Diesel,Dealer,Automatic,Second Owner,17.6,1968,174.33,380Nm@ 1750-2500rpm,5,Y,Audi
56,59,Toyota Corolla,2018,1590000,25000,South,Florida,Miami,Petrol,Dealer,Automatic,First Owner,14.2,1798,138.03,173Nm@ 4000rpm,5,Y,Toyota
57,60,Audi A6,2013,1689999,50000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,18.5,1968,187.74,400Nm@ 1750-3000rpm,5,Y,Audi
58,61,Mercedes-Benz New,2013,1425000,59000,East,Massachusetts,Boston,Diesel,Dealer,Automatic,First Owner,14.8,2143,170.0,400Nm@ 1400-2800rpm,5,Y,Mercedes-Benz
59,62,Tata Manza,2011,265000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,21.1,1248,88.8,200Nm@ 1750-3000rpm,5,Y,Tata
60,63,Hyundai i10,2011,190000,110000,West,California,San Diego,Petrol,Individual,Manual,Third Owner,20.3,1197,78.9,111.7Nm@ 4000rpm,5,Y,Hyundai
61,64,Hyundai i20,2013,425000,60000,West,California,San Francisco,Diesel,Individual,Manual,First Owner,21.2,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y,Hyundai
62,65,Maruti Swift,2015,630000,147000,West,California,San Francisco,Diesel,Individual,Manual,Second Owner,26.5,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
63,66,Ford Figo,2017,600000,25000,East,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,18.1,1196,86.8,112Nm@ 4000rpm,5,Y,Ford
64,67,Maruti Baleno,2019,650000,30000,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115Nm@ 4000rpm,5,Y,Maruti
65,68,Volkswagen Ameo,2016,540000,40000,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,250Nm@ 1500-3000rpm,5,Y,Volkswagen
66,69,Honda City,2015,630000,135000,East,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25.0,1498,98.6,200Nm@ 1750rpm,5,Y,Honda
67,70,Maruti Wagon,2018,448000,30000,East,District of Columbia,Washington,Petrol,Individual,Automatic,First Owner,20.5,998,67.0,90Nm@ 3500rpm,5,Y,Maruti
68,71,Volkswagen Ameo,2017,500000,80000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,21.6,1498,108.62,250Nm@ 1500-3000rpm,5,Y,Volkswagen
69,72,Maruti Vitara,2016,745000,70000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
70,73,Maruti Vitara,2019,1025000,9850,East,Massachusetts,Boston,Diesel,Individual,Automatic,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
71,74,Hyundai i10,2011,235000,60000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,20.3,1197,78.9,111.7Nm@ 4000rpm,5,Y,Hyundai
72,75,Maruti Swift,2016,630000,70000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,25.0,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
73,76,Toyota Fortuner,2015,1700000,78000,West,California,Los Angeles,Diesel,Individual,Manual,Second Owner,12.5,2982,168.5,343Nm@ 1400-3400rpm,7,Y,Toyota
74,77,Maruti Swift,2013,450000,120000,Central,Texas,Dallas,Diesel,Individual,Manual,Second Owner,22.0,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
75,78,Maruti Ertiga,2012,450000,120000,South,Florida,Miami,Petrol,Individual,Manual,Second Owner,16.0,1373,93.7,130Nm@ 4000rpm,7,Y,Maruti
76,80,Volkswagen Vento,2013,450000,170000,South,North Carolina,Charlotte,Diesel,Individual,Manual,First Owner,20.5,1598,103.6,250Nm@ 1500-2500rpm,5,Y,Volkswagen
77,81,Toyota Innova,2016,1200000,140000,East,New York,New York City,Diesel,Individual,Manual,First Owner,12.9,2494,100.6,200Nm@ 1200-3600rpm,8,Y,Toyota
78,82,Ford EcoSport,2015,610000,90000,Central,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.7,1498,98.59,205Nm@ 1750-3250rpm,5,Y,Ford
79,83,BMW X1,2016,2500000,30000,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second Owner,15.7,1998,189.0,280Nm@ 1350-4600rpm,5,Y,BMW
80,84,Maruti Celerio,2017,484999,10000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,23.0,998,67.04,90Nm@ 3500rpm,5,Y,Maruti
81,85,Datsun GO,2016,275000,49000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.0,1198,67.05,104Nm@ 4000rpm,5,Y,Datsun
82,86,Maruti Alto,2016,315000,32000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,24.0,796,47.3,69Nm@ 3500rpm,5,Y,Maruti
83,87,Maruti Alto,2016,275000,38000,East,New York,New York City,Petrol,Dealer,Manual,First Owner,24.0,796,47.3,69Nm@ 3500rpm,5,Y,Maruti
84,89,Hyundai i10,2012,290000,28000,South,Florida,Miami,Petrol,Dealer,Manual,First Owner,19.8,1086,68.05,99.04Nm@ 4500rpm,5,Y,Hyundai
85,90,Maruti Omni,2017,280000,32000,Central,Michigan,Detroit,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5,Y,Maruti
86,91,Maruti Wagon,2010,225000,44000,Central,Michigan,Detroit,LPG,Dealer,Manual,First Owner,36.68,998,58.2,77Nm@ 3500rpm,5,Y,Maruti
87,92,Volkswagen Polo,2015,455000,42000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First Owner,16.4,1198,74.0,110Nm@ 3750rpm,5,Y,Volkswagen
88,93,Hyundai i10,2015,351000,45000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,Second Owner,19.8,1086,68.05,99.04Nm@ 4500rpm,5,Y,Hyundai
89,94,Volkswagen Vento,2012,535000,12000,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,Second Owner,15.0,1598,103.6,153Nm@ 3800rpm,5,Y,Volkswagen
90,95,Maruti Zen,2009,175000,55500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First Owner,18.0,998,67.1,90Nm@ 3500rpm,5,Y,Maruti
91,96,Hyundai i20,2013,525000,61500,East,Pennsylvania,Philadelphia,Petrol,Dealer,Manual,First Owner,18.0,1197,82.85,113.7Nm@ 4000rpm,5,Y,Hyundai
92,97,Maruti Swift,2016,600000,150000,East,Massachusetts,Boston,Diesel,Individual,Manual,First Owner,26.5,1248,74.0,190Nm@ 2000rpm,5,Y,Maruti
93,98,Hyundai Xcent,2016,565000,72000,South,Georgia,Atlanta,Petrol,Dealer,Automatic,First Owner,19.0,1197,82.0,114Nm@ 4000rpm,5,Y,Hyundai
94,99,Maruti Alto,2008,120000,68000,West,California,Los Angeles,Petrol,Dealer,Manual,Third Owner,19.0,796,46.3,62Nm@ 3000rpm,5,Y,Maruti
95,100,Hyundai i20,2017,725000,110000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,22.5,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y,Hyundai
96,101,Maruti Wagon,2009,185000,77000,East,District of Columbia,Washington,Petrol,Dealer,Manual,Second Owner,21.7,998,67.05,90Nm@ 3500rpm,5,Y,Maruti
97,102,Tata Manza,2010,200000,100000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,18.0,1248,90.0,200Nm@ 1750-3000rpm,5,Y,Tata
98,103,Maruti Swift,2019,615000,10000,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.2,1197,81.8,113Nm@ 4200rpm,5,Y,Maruti
